"","Attempt","maxAC","meanAC","maxACVariable","SampleSize","SampleSizeIncluded","ESS"
"1",1,0.18225008387178,0.0626597322034295,"summer_rmax",30813507,18504718,738351.476220709
"2",2,0.105389696466514,0.0436059336059391,"S",30813507,25596816,443802.114992996
"3",3,0.115373615435577,0.0515949466806902,"S",30813507,23600873,683190.313870159
"4",4,0.101841946025691,0.0461880686996223,"S",30813507,24937115,627382.754300042
"5",5,0.162877360480301,0.0621159782794075,"summer_rmax",30813507,17409500,735250.5072703
"6",6,0.113086253054337,0.0469713482567262,"summer_rmax",30813507,24151570,576947.123425654
"7",7,0.10498927242898,0.0442871465680669,"W",30813507,25467842,406481.773609496
"8",8,0.0843067091570895,0.0385027239234083,"summer_tmmx",30813507,25540695,428570.86184423
"9",9,0.120698367893854,0.0528659817318487,"S",30813507,24271897,619103.850764587
"10",10,0.122763866277153,0.0525530551845124,"S",30813507,23303468,746107.866452081
"11",11,0.110463720293597,0.0437410514088283,"W",30813507,25495249,399062.368474693
"12",12,0.132086803721552,0.058337536672444,"S",30813507,21791007,719540.160523075
"13",13,0.0985909595826042,0.0436439963498679,"S",30813507,25190200,652171.424237504
"14",14,0.127736012027292,0.0521304289381512,"S",30813507,23202371,770869.336811649
"15",15,0.111896966047938,0.042661015382253,"W",30813507,25608661,422306.061934674
"16",16,0.115399495344911,0.0426968549627973,"W",30813507,25361171,357004.360949551
"17",17,0.101328203015247,0.0461571715112879,"S",30813507,25591401,617591.251881689
"18",18,0.166818524097236,0.0631427670219736,"summer_rmax",30813507,23171210,1006214.79998704
"19",19,0.204571568923233,0.0785552335850052,"summer_rmax",30813507,17391770,795357.740387628
"20",20,0.086422085496056,0.03687536337974,"W",30813507,25397904,330113.605787591
"21",21,0.0974300489569471,0.0416001037966175,"S",30813507,25600106,619073.432512736
"22",22,0.0924702226489971,0.03659667977001,"summer_tmmx",30813507,25549357,453525.188924302
"23",23,0.102895776729921,0.0502456893598876,"popdensity",30813507,25463650,381973.738934482
"24",24,0.0914117717619128,0.0358930378116828,"summer_tmmx",30813507,25539698,361476.756502044
"25",25,0.124459254306279,0.0529628113277016,"S",30813507,24333197,531635.27063848
"26",26,0.10999573383152,0.0495582231604257,"W",30813507,25413235,376871.247732827
"27",27,0.120226772366222,0.0491531438726368,"summer_rmax",30813507,22439225,687246.52663637
"28",28,0.0997280010181657,0.0480103560318587,"S",30813507,25414829,483380.381226596
"29",29,0.149470339868842,0.0535041454395256,"summer_rmax",30813507,21393393,773104.980380935
"30",30,0.117297456798081,0.0526506428580969,"S",30813507,24925236,505392.923425179
