Attempt,Covariate,Dataset,Correlation,AbsoluteCorrelation,SampleSize,SampleSizeIncluded,ESS
8,mean_bmi,Matched,-0.0670077812771956,0.0670077812771956,30813507,25540695,428570.86184423
8,smoke_rate,Matched,-0.04380450094181,0.04380450094181,30813507,25540695,428570.86184423
8,hispanic,Matched,0.0247960269807984,0.0247960269807984,30813507,25540695,428570.86184423
8,prop_blk,Matched,0.0260425870526903,0.0260425870526903,30813507,25540695,428570.86184423
8,PIR,Matched,0.0560846922600531,0.0560846922600531,30813507,25540695,428570.86184423
8,poverty,Matched,0.0342912959144251,0.0342912959144251,30813507,25540695,428570.86184423
8,education,Matched,-0.000212320901076441,0.000212320901076441,30813507,25540695,428570.86184423
8,popdensity,Matched,-0.00306630464940256,0.00306630464940256,30813507,25540695,428570.86184423
8,prop_owner_occ,Matched,-0.0164293275398649,0.0164293275398649,30813507,25540695,428570.86184423
8,summer_tmmx,Matched,-0.0843067091570896,0.0843067091570896,30813507,25540695,428570.86184423
8,summer_rmax,Matched,-0.0532377613050733,0.0532377613050733,30813507,25540695,428570.86184423
8,MW,Matched,-0.00965926401179037,0.00965926401179037,30813507,25540695,428570.86184423
8,NE,Matched,-0.00583426373790537,0.00583426373790537,30813507,25540695,428570.86184423
8,S,Matched,-0.069140887106755,0.069140887106755,30813507,25540695,428570.86184423
8,W,Matched,0.0836271360151952,0.0836271360151952,30813507,25540695,428570.86184423
8,mean_bmi,Unmatched,-0.319614179354917,0.319614179354917,30813507,-1,30813507
8,smoke_rate,Unmatched,-0.215451502854738,0.215451502854738,30813507,-1,30813507
8,hispanic,Unmatched,0.229800263826227,0.229800263826227,30813507,-1,30813507
8,prop_blk,Unmatched,0.123840401922139,0.123840401922139,30813507,-1,30813507
8,PIR,Unmatched,0.260582671746216,0.260582671746216,30813507,-1,30813507
8,poverty,Unmatched,-0.0135976534159063,0.0135976534159063,30813507,-1,30813507
8,education,Unmatched,-0.014726988720042,0.014726988720042,30813507,-1,30813507
8,popdensity,Unmatched,0.430279500840265,0.430279500840265,30813507,-1,30813507
8,prop_owner_occ,Unmatched,-0.343298851138319,0.343298851138319,30813507,-1,30813507
8,summer_tmmx,Unmatched,-0.0758900564399609,0.0758900564399609,30813507,-1,30813507
8,summer_rmax,Unmatched,-0.227326837399222,0.227326837399222,30813507,-1,30813507
8,MW,Unmatched,0.0213620112444125,0.0213620112444125,30813507,-1,30813507
8,NE,Unmatched,0.148212594583294,0.148212594583294,30813507,-1,30813507
8,S,Unmatched,-0.275308274066014,0.275308274066014,30813507,-1,30813507
8,W,Unmatched,0.174213611644869,0.174213611644869,30813507,-1,30813507
