"","Attempt","maxAC","meanAC","maxACVariable","SampleSize","SampleSizeIncluded","ESS"
"1",1,0.140810097451781,0.0351125226094069,"summer_rmax",29852167,11172056,496632.552458597
"2",2,0.0612088363403787,0.023040689142052,"NE",29852167,22488401,2496627.77073989
"3",3,0.0623740219192644,0.024022118709,"NE",29852167,18266639,2347657.11547987
"4",4,0.0533916624541251,0.0219221025595507,"NE",29852167,20997961,2364461.13395824
"5",5,0.134353089269063,0.0528851448167741,"hispanic",29852167,8847513,280058.020105992
"6",6,0.0694322087057973,0.0267914548634218,"NE",29852167,17928776,2241374.0518703
"7",7,0.0551959783197535,0.0288617870978999,"NE",29852167,22349115,2319403.58747528
"8",8,0.0547750433188945,0.0257898454154096,"S",29852167,22488475,2172025.49479412
"9",9,0.0667831606049359,0.0248783165264435,"S",29852167,19082109,2432054.27985526
"10",10,0.0765771514541646,0.0293457654142187,"NE",29852167,15858472,1647831.01478593
"11",11,0.0601397148800623,0.0255162861339854,"S",29852167,22433182,2275652.86240781
"12",12,0.0685237032851692,0.0329160438847598,"hispanic",29852167,10076105,859918.294363187
"13",13,0.07531662027912,0.0284577465637662,"NE",29852167,19559671,2262828.37076148
"14",14,0.0706364130490132,0.0340220504949327,"NE",29852167,14407144,1376546.27308241
"15",15,0.0604793929888486,0.0248441146242527,"S",29852167,22560995,2371176.89690815
"16",16,0.0579247130637594,0.0309569466119916,"S",29852167,22434322,1868431.0397113
"17",17,0.0629718908597555,0.0223683411925339,"NE",29852167,22079838,2651516.23990869
"18",18,0.0895453404838469,0.0388245211871009,"NE",29852167,15242365,751454.239433676
"19",19,0.167569732615213,0.0467723837789245,"summer_rmax",29852167,8251444,114442.74469079
"20",20,0.0489691210187906,0.0283203023465389,"popdensity",29852167,22359744,1970395.15290352
"21",21,0.0648997749341593,0.0233788141451732,"NE",29852167,21820422,2328804.17400924
"22",22,0.050841696198021,0.0259676114613922,"S",29852167,22560286,2338502.84523542
"23",23,0.0505227603737936,0.025640403914087,"NE",29852167,22382426,1947313.15294438
"24",24,0.0505764320208283,0.027426754220719,"NE",29852167,22484177,2369592.38312164
"25",25,0.0664879488147416,0.023219253136996,"S",29852167,20477035,2652998.12908221
"26",26,0.0585717315447775,0.0319249877019648,"S",29852167,22450500,1935626.17290941
"27",27,0.0570879884769933,0.0296840427557234,"NE",29852167,14207054,1405307.07274518
"28",28,0.0516484854455545,0.0250777788489661,"S",29852167,21746515,1971187.91968399
"29",29,0.0952524689916529,0.0381867903299781,"NE",29852167,10872093,589277.629808915
"30",30,0.0713695278369773,0.025424647563826,"S",29852167,21814226,2628820.7491816
