"","Attempt","maxAC","meanAC","maxACVariable","SampleSize","SampleSizeIncluded","ESS"
"1",1,0.165762980770785,0.0637153814624328,"education",31989354,31989354,13797924.8666061
"2",2,0.0821792871558295,0.0477172609172228,"education",31989354,31989354,9961449.4633839
"3",3,0.0811946505847423,0.0470262170434668,"smoke_rate",31989354,31989354,10983791.6216818
"4",4,0.0913477985111349,0.0427736974981341,"education",31989354,31989354,10698849.9613737
"5",5,0.1560838879944,0.0642330971906917,"education",31989354,31989354,14120898.9091765
"6",6,0.0952820143232067,0.0524996985384014,"smoke_rate",31989354,31989354,11951492.1212837
"7",7,0.10212583207831,0.0386670083372841,"education",31989354,31989354,9277803.58526118
"8",8,0.103188609693705,0.0376191067034792,"education",31989354,31989354,9272039.73395368
"9",9,0.0860352121463706,0.0445841502573263,"smoke_rate",31989354,31989354,10700587.049654
"10",10,0.122081669008955,0.0644326802889379,"smoke_rate",31989354,31989354,13028094.2515453
"11",11,0.113461441522732,0.0372342220799702,"education",31989354,31989354,9006610.66480561
"12",12,0.0951235840558358,0.0518898201857019,"smoke_rate",31989354,31989354,11971027.0650904
"13",13,0.103242532131319,0.0531267311788776,"smoke_rate",31989354,31989354,12590820.6609937
"14",14,0.103118926504801,0.0542786497377364,"smoke_rate",31989354,31989354,13567187.795883
"15",15,0.0973074863280235,0.0427194606865937,"education",31989354,31989354,9337416.12781546
"16",16,0.109590487892806,0.0382922150771128,"education",31989354,31989354,8927542.1810546
"17",17,0.0935294530540136,0.052775684114865,"smoke_rate",31989354,31989354,11450885.0723159
"18",18,0.141870436576755,0.0565276097121193,"education",31989354,31989354,14428271.9237853
"19",19,0.206648199557153,0.0674780659811234,"education",31989354,31989354,13017346.2725373
"20",20,0.112968923281354,0.0391298549951871,"education",31989354,31989354,8836011.68203296
"21",21,0.0934755732171099,0.05214088245448,"education",31989354,31989354,11269299.6921811
"22",22,0.0973167601930696,0.0417468506147621,"education",31989354,31989354,9752909.37951235
"23",23,0.109274799513156,0.0378576768296442,"education",31989354,31989354,8952706.07020559
"24",24,0.108425002748759,0.0388594340248204,"education",31989354,31989354,9030797.17424652
"25",25,0.0846326850521577,0.038524251813154,"education",31989354,31989354,10311994.1616511
"26",26,0.10389239607712,0.0343205128650339,"education",31989354,31989354,9000914.45318547
"27",27,0.0930076267930548,0.0535128919224825,"smoke_rate",31989354,31989354,12337264.1082317
"28",28,0.0958128897792355,0.0486185152327801,"education",31989354,31989354,10291468.1030941
"29",29,0.11738409528108,0.0555773947031922,"education",31989354,31989354,13901250.2809766
"30",30,0.0919219071463467,0.0389785692262493,"education",31989354,31989354,9964596.93350868
